,accuracy,precision,recall,f1_score,roc_auc,best_params
Voting Ensemble,0.8593333333333333,0.7076923076923077,0.5270049099836334,0.6041275797373359,0.8734194298883521,"{'top_5_models': ['AdaBoost', 'Random Forest', 'CatBoost', 'Logistic Regression', 'XGBoost']}"
AdaBoost,0.8466666666666667,0.6281833616298812,0.6055646481178396,0.6166666666666667,0.8638895949040851,"{'learning_rate': 1.0, 'n_estimators': 200}"
Random Forest,0.8386666666666667,0.6092943201376936,0.5793780687397708,0.5939597315436241,0.8608098081838542,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 1, 'n_estimators': 200}"
CatBoost,0.8613333333333333,0.7152317880794702,0.530278232405892,0.6090225563909775,0.8604624715434009,"{'depth': 8, 'iterations': 200, 'learning_rate': 0.1}"
Logistic Regression,0.8523333333333334,0.71875,0.45171849427168576,0.5547738693467337,0.8533567996799296,"{'C': 100, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
XGBoost,0.8553333333333333,0.6971046770601337,0.5122749590834698,0.590566037735849,0.8529580818796461,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}"
Extra Trees,0.8433333333333334,0.6374269005847953,0.5351882160392799,0.5818505338078291,0.8505140513770493,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Gradient Boosting,0.847,0.6610169491525424,0.5106382978723404,0.5761772853185596,0.8458387083735532,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}"
LightGBM,0.8526666666666667,0.6832971800433839,0.5155482815057283,0.5876865671641791,0.8385131251460083,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200, 'num_leaves': 50}"
Decision Tree,0.8316666666666667,0.5825545171339563,0.6121112929623568,0.5969672785315243,0.8282728599918202,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 9, 'random_state': 0}"
LDA,0.824,0.5778611632270169,0.5040916530278232,0.5384615384615384,0.820096062216419,"{'shrinkage': None, 'solver': 'svd'}"
KNN,0.8033333333333333,0.5164319248826291,0.5400981996726678,0.528,0.8175023412681829,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}"
SVM,0.84,0.638477801268499,0.49427168576104746,0.5571955719557196,0.8151172278288582,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}"
QDA,0.8183333333333334,0.8666666666666667,0.1276595744680851,0.2225392296718973,0.7472235333933008,{'reg_param': 0.0}
Naive Bayes,0.757,0.4108761329305136,0.4451718494271686,0.42733699921445406,0.7199719938424818,{'var_smoothing': 1e-05}
